loss,accuracy,val_loss,val_accuracy,lr,test_acc
0.12452210485935211,0.9495338201522827,0.03591284528374672,0.9879956245422363,0.0010000000474974513,0.9414
0.03103204071521759,0.9888953566551208,0.01855163276195526,0.9931647777557373,0.0010000000474974513,0.92919
0.018887793645262718,0.9932728409767151,0.019534919410943985,0.9924598932266235,0.0010000000474974513,0.93338
0.013729138299822807,0.9952139854431152,0.03319510444998741,0.987269401550293,0.0010000000474974513,0.94105
0.01122270803898573,0.9960764050483704,0.016755687072873116,0.9936186671257019,0.0010000000474974513,0.93687
0.008716888725757599,0.9970389604568481,0.0075338599272072315,0.9974794983863831,0.0010000000474974513,0.95954
0.0072787669487297535,0.997478187084198,0.008452202193439007,0.9971430897712708,0.0010000000474974513,0.92571
0.006629593670368195,0.997745156288147,0.012606959789991379,0.9955464005470276,0.0010000000474974513,0.93757
0.005884008947759867,0.9979801177978516,0.04323602467775345,0.9848983883857727,0.0010000000474974513,0.90862
0.005286248400807381,0.9981523156166077,0.006701943464577198,0.9977465271949768,0.0010000000474974513,0.95396
0.004829484038054943,0.9983686208724976,0.014971839264035225,0.9947080612182617,0.0010000000474974513,0.94245
0.004064371343702078,0.9985942244529724,0.0023252281825989485,0.9992737770080566,0.0010000000474974513,0.95849
0.004125907085835934,0.9985889196395874,0.016463255509734154,0.993746817111969,0.0010000000474974513,0.94942
0.0034605262335389853,0.9987998008728027,0.022370975464582443,0.9924759268760681,0.0010000000474974513,0.94105
0.0034418839495629072,0.9988385438919067,0.006312875542789698,0.997735857963562,0.0010000000474974513,0.94384
0.002999624703079462,0.9990094304084778,0.023099148645997047,0.9919579029083252,0.0010000000474974513,0.95431
0.0034283013083040714,0.9988078474998474,0.01502928975969553,0.9946386218070984,0.0010000000474974513,0.93303
0.002717425115406513,0.9991002082824707,0.03920619562268257,0.9864737391471863,0.0010000000474974513,0.93478
0.00248385570012033,0.9991803169250488,0.007362586446106434,0.997570276260376,0.0010000000474974513,0.94873
0.0028126498218625784,0.9990614652633667,0.0012136953882873058,0.9996368885040283,0.0010000000474974513,0.93931
0.0018502225866541266,0.9994099140167236,0.0008550679194740951,0.9997276663780212,0.0010000000474974513,0.94629
0.0024477364495396614,0.999169647693634,0.00015733619511593133,0.9999839663505554,0.0010000000474974513,0.9571
0.0022176015190780163,0.9992684125900269,0.0014145351015031338,0.999610185623169,0.0010000000474974513,0.95535
0.00206247647292912,0.9993337988853455,0.0016641485271975398,0.9994499683380127,0.0010000000474974513,0.95745
0.002100270241498947,0.99934983253479,0.00042052409844473004,0.9999092221260071,0.0010000000474974513,0.95849
