,loss,val_loss,Pearson_r
0,243.05052185058594,220.0664825439453,-0.01321
1,158.85888671875,106.17349243164062,0.05636
2,77.99214935302734,79.22103118896484,0.49655
3,47.4456672668457,43.67219543457031,0.64845
4,34.414520263671875,34.254173278808594,0.75256
5,29.066789627075195,33.59334945678711,0.76369
6,23.926069259643555,28.051950454711914,0.76096
7,19.268909454345703,27.645797729492188,0.77977
8,16.591571807861328,15.701202392578125,0.79837
9,17.153100967407227,19.689733505249023,0.84917
10,16.792694091796875,21.217655181884766,0.7489
11,14.352139472961426,12.849692344665527,0.82787
12,11.992669105529785,14.504563331604004,0.83884
13,13.475707054138184,17.58182144165039,0.80217
14,11.29865837097168,26.413108825683594,0.71549
15,11.383279800415039,10.819775581359863,0.81849
16,11.21076774597168,12.140379905700684,0.85265
17,9.472622871398926,22.521516799926758,0.76647
18,10.080914497375488,23.275915145874023,0.70984
19,9.634003639221191,8.391461372375488,0.83686
20,10.073160171508789,13.842133522033691,0.81223
21,6.504186153411865,10.978248596191406,0.8453
22,9.589153289794922,11.492387771606445,0.79484
23,9.473190307617188,19.550155639648438,0.82885
24,7.670880317687988,8.836441993713379,0.82449
25,7.368295669555664,15.294039726257324,0.79903
26,6.499333381652832,9.98249626159668,0.86357
27,8.007434844970703,9.718435287475586,0.81825
28,6.6197967529296875,5.858212471008301,0.85613
29,6.006179332733154,6.818421363830566,0.84269
30,6.446261405944824,5.960735321044922,0.87358
31,5.090052127838135,6.2594075202941895,0.82615
32,4.521006107330322,6.005735397338867,0.82679
33,6.505856037139893,14.483251571655273,0.83784
34,6.221312046051025,9.850421905517578,0.81569
35,6.4515533447265625,8.454190254211426,0.86756
36,5.2274861335754395,5.495900630950928,0.80548
37,4.770532608032227,6.764593601226807,0.78574
38,4.799956321716309,9.033188819885254,0.82555
39,3.9134511947631836,3.80496883392334,0.82897
40,4.114357948303223,6.107036113739014,0.8277
41,5.735540390014648,8.433469772338867,0.78941
42,5.183534145355225,4.294827461242676,0.83124
43,3.224672317504883,4.180334568023682,0.80478
44,5.73541259765625,4.887779712677002,0.78183
45,3.712736129760742,3.4695916175842285,0.80521
46,3.4211559295654297,3.8305819034576416,0.82412
47,3.244293212890625,4.41918420791626,0.81414
48,4.480908393859863,4.523662090301514,0.8434
49,3.639693260192871,4.012486934661865,0.80826
