,loss,val_loss,Pearson_r
0,42.101802825927734,34.87400817871094,0.63541
1,19.235837936401367,13.078067779541016,0.85187
2,11.054612159729004,13.026945114135742,0.88294
3,7.659280776977539,5.925824165344238,0.90089
4,5.876708507537842,4.782506942749023,0.91023
5,4.878441333770752,4.510776996612549,0.90096
6,4.137905597686768,6.351037502288818,0.92105
7,3.7164201736450195,3.4990079402923584,0.91053
8,3.2267343997955322,2.7617716789245605,0.92364
9,2.9350357055664062,3.4501469135284424,0.91234
10,2.9610660076141357,2.822380781173706,0.90469
11,2.512331008911133,2.304763078689575,0.91807
12,2.4213173389434814,2.221790075302124,0.92649
13,2.278815269470215,1.9655506610870361,0.92699
14,2.1121835708618164,2.821577787399292,0.92574
15,2.2467637062072754,1.4842880964279175,0.92539
16,1.8572993278503418,1.8052114248275757,0.91648
17,2.834350109100342,2.0969884395599365,0.9208
18,1.6247731447219849,1.4877156019210815,0.92384
19,1.5891104936599731,2.2795310020446777,0.9195
20,1.636733889579773,2.9215188026428223,0.90832
21,1.7735283374786377,1.6612282991409302,0.92174
22,1.5805491209030151,1.4457398653030396,0.92469
23,1.6077980995178223,1.3053648471832275,0.93558
24,1.4777648448944092,1.6679250001907349,0.92854
